name,ring,quadrant,isNew,description
Application Insights,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/azure-monitor/app/app-insights-overview"">Application Insights</a></strong>, a feature of Azure Monitor, is an extensible Application Performance Management (APM) service for developers and DevOps professionals. Use it to monitor your live applications. It will automatically detect performance anomalies, and includes powerful analytics tools to help you diagnose issues and to understand what users actually do with your app. It's designed to help you continuously improve performance and usability.</br></br><strong>Used by:</strong> LM, LMKT, TZTLeads, SAPO</br><strong>Alternatives:</strong> AWS X-Ray</p>"
Azure Cache for Redis or Hosted Redis,hold,Tools,FALSE,"<p><strong><a href=""https://redis.io/"">Redis</a></strong> is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams.</br></br><strong>Used by:</strong> TORO, LMKT, LM</br><strong>Alternatives:</strong> Amazon ElastiCache for Redis</p>"
Azure Service Bus,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/service-bus-messaging/service-bus-messaging-overview"">Microsoft Azure Service Bus</a></strong> is a fully managed enterprise message broker with message queues and publish-subscribe topics. </br></br><strong>Used by:</strong> TZT Leads, LM, TORO, CUY, SAPO, GATO</br><strong>Alternatives:</strong> Amazon SNS, Amazon SQS</p>"
SysDig,adopt,Tools,FALSE,"<p><strong><a href=""https://sysdig.com/"">Sysdig</a></strong> is a simple tool for deep system visibility, with native support for containers.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Sentry,adopt,Tools,FALSE,"<p><strong><a href=""https://sentry.io/welcome/"">Sentry's application monitoring platform</a></strong> helps every developer diagnose, fix, and optimize the performance of their code.</br></br><strong>Used by:</strong> TORO, CUY, SAPO, LM</p>"
PagerDuty,adopt,Tools,FALSE,"<p><strong><a href=""https://www.pagerduty.com/"">PagerDuty</a></strong> is an incident management platform that provides reliable notifications, automatic escalations, on-call scheduling, and other functionality to help teams detect and fix infrastructure problems quickly.</br></br><strong>Used by:</strong> TZT Leads, TORO, LMKT, SAPO, CUY, LM</p>"
TeamCity,adopt,Tools,FALSE,"<p><strong><a href=""https://www.jetbrains.com/es-es/teamcity/"">TeamCity</a></strong> is a general-purpose CI/CD solution that allows the most flexibility for all sorts of workflows and development practices. The Projects Overview lets you quickly check the status of your builds, see what triggered them, download the latest build artifacts, and more.</br></br><strong>Used by:</strong>All</p>"
Octopus,adopt,Tools,FALSE,"<p><strong><a href=""https://octopus.com/"">Octopus Deploy</a></strong> is an automated deployment server that makes it easy to automate deployment.</br></br><strong>Used by:</strong> All</p>"
BitBucket,hold,Tools,FALSE,"<p><strong><a href=""https://bitbucket.org/product/"">Bitbucket</a></strong> is our Git repository management solution designed for professional teams. It gives you a central place to manage git repositories, collaborate on your source code and guide you through the development flow.</br></br><strong>Used by:</strong> All</br><strong>Alternatives:</strong> GitHub</p>"
Azure Event hubs,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/event-hubs/event-hubs-about"">Azure Event Hubs</a></strong> is a big data streaming platform and event ingestion service. It can receive and process millions of events per second. Data sent to an event hub can be transformed and stored by using any real-time analytics provider or batching/storage adapters.</br></br><strong>Used by:</strong> LM</br><strong>Alternatives:</strong> Amazon EventBridge</p>"
Figma,adopt,Tools,FALSE,"<p><strong><a href=""https://www.figma.com/"">Figma</a></strong> is a digital design and prototyping tool. It is a UI and UX design application that you can use it to create websites, apps, or smaller user interface components that can be integrated into other projects.</br></br><strong>Used by:</strong> CUY, LMKT, SAPO, TORO</p>"
Helm,adopt,Tools,FALSE,"<p><strong><a href=""https://helm.sh/"">Helm</a></strong> is a package manager for Kubernetes. Helm is the K8s equivalent of yum or apt. Helm deploys charts, which you can think of as a packaged application. It is a collection of all your versioned, pre-configured application resources which can be deployed as one unit.</br></br><strong>Used by:</strong> LMKT, TORO, SAPO</p>"
ESLint,adopt,Tools,FALSE,"<p><strong><a href=""https://eslint.org/"">ESLint</a></strong> is a static code analysis tool for identifying problematic patterns found in JavaScript code.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Commitizen,adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/commitizen/cz-cli"">Commitizen</a></strong>, When you commit with Commitizen, you'll be prompted to fill out any required commit fields at commit time.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Commitlint,adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/conventional-changelog/commitlint"">Commitlint</a></strong> checks if your commit messages meet the conventional commit format.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
semantic-release,adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/semantic-release/semantic-release"">semantic-release</a></strong> automates the whole package release workflow including: determining the next version number, generating the release notes and publishing the package.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
Husky,adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/typicode/husky"">Husky</a></strong> improves your commits and more. You can use it to lint your commit messages, run tests, lint code, etc. when you commit or push.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
GitHub,adopt,Tools,FALSE,"<p><strong><a href=""https://github.com/"">GitHub</a></strong> is a code hosting platform for version control and collaboration. It lets you and others work together on projects from anywhere.</br></br><strong>Used by:</strong> All</p>"
Azure Key Vault,hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/azure/key-vault/"">Azure Key Vault</a></strong> helps teams to securely store and manage sensitive information such as keys, passwords, certificates, etc., in a centralized storage which are safeguarded by industry-standard algorithms, key lengths, and even hardware security modules.</br></br><strong>Used by:</strong> SAPO, CUY</br><strong>Alternatives:</strong> AWS Secret Manager</p>"
Pulumi,hold,Tools,FALSE,"<p><strong><a href=""https://www.pulumi.com/"">Pulumi</a></strong> is an open-source infrastructure as code tool that utilizes the most popular programming languages to simplify provisioning and managing cloud resources.</br></br><strong>Used by:</strong> TORO</br><strong>Alternatives:</strong> Terraform, AWS SAM</p>"
Storybook,adopt,Tools,FALSE,"<p><strong><a href=""https://storybook.js.org/"">Storybook</a></strong> is an open source tool for building UI components and pages in isolation. It streamlines UI development, testing, and documentation.</br></br><strong>Used by:</strong> All</p>"
Microsoft Message Queuing (MSMQ),hold,Tools,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/previous-versions/windows/desktop/msmq/ms711472(v=vs.85)"">Message Queuing (MSMQ)</a></strong> technology enables applications running at different times to communicate across heterogeneous networks and systems that may be temporarily offline. Applications send messages to queues and read messages from queues. </br></br><strong>Used by:</strong> TZT Leads</br><strong>Alternatives:</strong> Amazon SNS, Amazon SQS</p>"
Microsoft  SQL Server (On-prem),hold,Tools,FALSE,"<p><strong><a href=""https://learn.microsoft.com/en-us/sql/sql-server/what-is-sql-server?view=sql-server-ver16"">Microsoft SQL Server</a></strong> is a relational database management system developed by Microsoft.</br></br><strong>Used by:</strong> TZT Leads, CUY</br><strong>Alternatives:</strong> Amazon Aurora</p>"
.NET 6,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/core/dotnet-five"">.NET Core</a></strong> is a cross-platform implementation for running websites, services, and console apps on Windows, Linux, and macOS.</br></br><strong>Used by:</strong> SAPO, LMKT</br><strong>Alternatives:</strong> .NET 8</p>"
.NET 7,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/core/dotnet-five"">.NET Core</a></strong> is a cross-platform implementation for running websites, services, and console apps on Windows, Linux, and macOS.</br></br><strong>Used by:</strong> SAPO, LMKT</br><strong>Alternatives:</strong> .NET 8</p>"
.NET 8,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/core/dotnet-five"">.NET Core</a></strong> is a cross-platform implementation for running websites, services, and console apps on Windows, Linux, and macOS.</br></br><strong>Used by:</strong> SAPO, LMKT, CUY</p>"
AWS Serverless Application Model (SAM),adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/serverless-application-model/latest/developerguide/what-is-sam.html"">The AWS Serverless Application Model</a></strong>  is an open-source framework for building serverless applications. It provides shorthand syntax to express functions, APIs, databases, and event source mappings.</br></br><strong>Used by:</strong> Enrollments, Starlight, DNC, One Member</p>"
Powertools for AWS Lambda (.NET),adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://docs.powertools.aws.dev/lambda/dotnet/"">Powertools for AWS Lambda (.NET)</a></strong> is a suite of utilities for AWS Lambda functions to ease adopting best practices such as tracing, structured logging, custom metrics, and more.</br></br><strong>Used by:</strong> One Member</p>"
Terraform,adopt,Tools,TRUE,"<p><strong><a href=https://developer.hashicorp.com/terraform?product_intent=terraform"">Terraform</a></strong> is an infrastructure as code tool that enables you to safely and predictably provision and manage infrastructure in any cloud.</br></br><strong>Used by:</strong> All</p>"
AWS X-Ray,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/xray/latest/devguide/aws-xray.html"">AWS X-Ray</a></strong> is a service that collects data about requests that your application serves, and provides tools that you can use to view, filter, and gain insights into that data to identify issues and opportunities for optimization. Further details can be found <a href=""https://github.com/TRANZACT/Platforms.Architecture.CoP/blob/master/teaching/code-challenges/xray/README.md"">here</a>.</br></br><strong>Used by:</strong> One Member, DNC, Starlight</p>"
Amazon CloudWatch,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/WhatIsCloudWatch.html"">Amazon CloudWatch</a></strong> monitors your Amazon Web Services (AWS) resources and the applications you run on AWS in real time. You can use CloudWatch to collect and track metrics, which are variables you can measure for your resources and applications.</br></br><strong>Used by:</strong> All</p>"
Amazon EKS,adopt,Platforms,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/eks/latest/userguide/what-is-eks.html"">Amazon EKS</a></strong> is a managed service that eliminates the need to install, operate, and maintain your own Kubernetes control plane on Amazon Web Services (AWS).</br></br><strong>Used by:</strong> All</p>"
Amazon API Gateway,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/apigateway/latest/developerguide/welcome.html"">Amazon API Gateway</a></strong> is an AWS service for creating, publishing, maintaining, monitoring, and securing REST, HTTP, and WebSocket APIs at any scale. API developers can create APIs that access AWS or other web services, as well as data stored in the AWS Cloud.</br></br><strong>Used by:</strong> DNC, Starlight, Enrollments, One Member</p>"
AWS Lambda,adopt,Platforms,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/lambda/latest/dg/welcome.html"">AWS Lambda</a></strong> is a compute service that lets you run code without provisioning or managing servers. Further details can be found <a href=""https://github.com/TRANZACT/Platforms.Architecture.CoP/blob/master/teaching/code-challenges/lambda/README.md"">here</a>.</br></br><strong>Used by:</strong> Enrollments, Starlight, DNC, One Member</p>"
LocalStack,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.localstack.cloud/overview/"">LocalStack</a></strong> is a cloud service emulator that runs in a single container on your laptop or in your CI environment. Further details can be found <a href=""https://github.com/TRANZACT/Platforms.Architecture.CoP/blob/master/teaching/code-challenges/localstack/README.md"">here</a>.</br></br><strong>Used by:</strong> One Member, Starlight</p>"
Kubernetes Event-driven Autoscaling (KEDA),adopt,Tools,TRUE,"<p><strong><a href=""https://keda.sh/docs/2.12/deploy/"">Kubernetes Event-driven Autoscaling (KEDA)</a></strong> is a Kubernetes-based Event Driven Autoscaler. With KEDA, you can drive the scaling of any container in Kubernetes based on the number of events needing to be processed. Further details can be found <a href=""https://github.com/TRANZACT/Platforms.Architecture.CoP/blob/master/teaching/code-challenges/keda/README.md"">here</a>.</br></br><strong>Used by:</strong> CUY</p>"
NUKE Build,adopt,Tools,TRUE,"<p><strong><a href=""https://nuke.build/"">NUKE</a></strong> brings your build automation to an even level with every other .NET project. How? It's a regular console application allowing all the OOP goodness! Besides, it solves many common problems in build automation, like parameter injection, path separator abstraction, access to solution and project models, and build step sharing across repositories. </br></br><strong>Used by:</strong> All</p>"
Amazon Simple Queue Service (SQS),adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/welcome.html"">Amazon Simple Queue Service</a></strong> offers a secure, durable, and available hosted queue that lets you integrate and decouple distributed software systems and components.</br></br><strong>Used by:</strong> All</p>"
Amazon Simple Notification Service (SNS),adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/sns/latest/dg/welcome.html"">Amazon Simple Notification Service</a></strong> is a managed service that provides message delivery from publishers to subscribers (also known as producers and consumers).</br></br><strong>Used by:</strong> All</p>"
Amazon Simple Storage Service (S3),adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html"">Amazon Simple Storage Service</a></strong> is an object storage service that offers industry-leading scalability, data availability, security, and performance.</br></br><strong>Used by:</strong> TORO</p>"
Amazon ElastiCache for Redis,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/AmazonElastiCache/latest/red-ug/WhatIs.html"">Amazon ElastiCache for Redis</a></strong> is a web service that makes it easy to set up, manage, and scale a distributed in-memory data store or cache environment in the cloud.</br></br><strong>Used by:</strong> CUY, GATO</p>"
Lambda Annotation,assess,Languages and Frameworks,TRUE,"<p><strong><a href=""https://github.com/aws/aws-lambda-dotnet/blob/master/Libraries/src/Amazon.Lambda.Annotations/README.md"">Lambda Annotations</a></strong>  is a programming model for writing .NET Lambda functions. At a high level the programming model allows idiomatic .NET coding patterns. C# Source Generators are used to bridge the gap between the Lambda programming model to the Lambda Annotations programming model without adding any performance penalty.</br></br><strong>Used by:</strong> None</p>"
Amazon Aurora,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/CHAP_AuroraOverview.html"">Amazon Aurora</a></strong> is a fully managed relational database engine that's compatible with MySQL and PostgreSQL.</br></br><strong>Used by:</strong> All</p>"
K6,adopt,Tools,TRUE,"<p><strong><a href=""https://k6.io/docs/"">K6</a></strong> is an open-source load testing tool that makes performance testing easy and productive for engineering teams. k6 is free, developer-centric, and extensible.</br></br><strong>Used by:</strong> All</p>"
AWS Systems Manager Parameter Store,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager-parameter-store.html"">AWS Systems Manager Parameter Store</a></strong>  provides secure, hierarchical storage for configuration data management and secrets management.</br></br><strong>Used by:</strong> Starlight</p>"
Hot Chocolate,adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://chillicream.com/docs/hotchocolate/v13"">Hot Chocolate</a></strong> is an open-source GraphQL server for the Microsoft .NET platform that is compliant with the newest GraphQL October 2021 spec + Drafts, which makes Hot Chocolate compatible to all GraphQL compliant clients like Strawberry Shake, Relay, Apollo Client, and various other GraphQL clients and tools.</br></br><strong>Used by:</strong> LMKT, TORO</p>"
GitHub Packages,trial,Tools,TRUE,"<p><strong><a href=""https://docs.github.com/en/packages/learn-github-packages/introduction-to-github-packages"">GitHub Packages</a></strong> is a software package hosting service that allows you to host your software packages privately or publicly and use packages as dependencies in your projects.</br></br><strong>Used by:</strong> None</p>"
Seq,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.datalust.co/docs/an-overview-of-seq"">Seq</a></strong>  is a real-time search and analysis server for structured application logs. Its carefully-designed user interface, JSON event store, and familiar query language make it an efficient platform for detecting and diagnosing issues in complex applications and microservices.</br></br><strong>Used by:</strong> LMKT, Enrollments, One Member</p>"
YARP,adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://github.com/microsoft/reverse-proxy"">YARP </a></strong> is a library to help create reverse proxy servers that are high-performance, production-ready, and highly customizable.</br></br><strong>Used by:</strong> LMKT, Enrollments</p>"
Visual Studio Code,adopt,Tools,TRUE,"<p><strong><a href=""https://code.visualstudio.com/"">Visual Studio Code</a></strong>  is a lightweight but powerful source code editor which runs on your desktop and is available for Windows, macOS and Linux. It comes with built-in support for JavaScript, TypeScript and Node.js and has a rich ecosystem of extensions for other languages and runtimes (such as C++, C#, Java, Python, PHP, Go, .NET).</br></br><strong>Used by:</strong> All</p>"
Visual Studio,adopt,Tools,TRUE,"<p><strong><a href=""https://visualstudio.microsoft.com/es/vs/"">Visual Studio</a></strong> is a powerful developer tool that you can use to complete the entire development cycle in one place. It is a comprehensive integrated development environment (IDE) that you can use to write, edit, debug, and build code, and then deploy your app.</br></br><strong>Used by: All</strong> </p>"
Rider,adopt,Tools,TRUE,"<p><strong><a href=""https://www.jetbrains.com/rider/"">Rider</a></strong> provides the power to productively develop a wide range of applications, including .NET desktop applications, services and libraries, Unity and Unreal Engine games, Xamarin apps, ASP.NET, and ASP.NET Core web applications, and more.</br></br><strong>Used by: </strong>All</p>"
Mermaid,adopt,Tools,TRUE,"<p><strong><a href=""https://mermaid.js.org/intro/"">Mermaid</a></strong> is a JavaScript based diagramming and charting tool that renders Markdown-inspired text definitions to create and modify diagrams dynamically.</br></br><strong>Used by:</strong> All</p>"
PlantUML,adopt,Tools,TRUE,"<p><strong><a href=""https://plantuml.com/es/"">PlantUML</a></strong> is a versatile component that enables swift and straightforward diagram creation. Users can draft a variety of diagrams using a simple and intuitive language.</br></br><strong>Used by: </strong> All</p>"
Acceptance Testing,adopt,Techniques,TRUE,"<p><strong><a href=""https://blog.raulnq.com/understanding-acceptance-testing"">Acceptance Testing</a></strong> is a test that asserts that the code does what the user wants, providing timely feedback.</br></br><strong>Used by:</strong> LMKT, One Member, Enrollments</p>"
Markdown,adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://www.markdownguide.org/"">Markdown</a></strong> is a lightweight markup language for creating formatted text using a plain-text editor.</br></br><strong>Used by:</strong> All</p>"
Tye,hold,Tools,TRUE,"<p><strong><a href=""https://github.com/dotnet/tye"">Tye</a></strong> is a developer tool that makes developing, testing, and deploying microservices and distributed applications easier. Project Tye includes a local orchestrator to make developing microservices easier and the ability to deploy microservices to Kubernetes with minimal configuration.</br></br><strong>Used by:</strong> Enrollments</br><strong>Alternatives:</strong> Aspire</p>"
Notion,assess,Tools,TRUE,"<p><strong><a href=""https://www.notion.so/help/guides/what-is-notion"">Notion</a></strong> is a single space where you can think, write, and plan. Capture thoughts, manage projects, or even run an entire company  and do it exactly the way you want.</br></br><strong>Used by:</strong> None</p>"
Microsoft Loop,assess,Tools,TRUE,"<p><strong><a href=""https://adoption.microsoft.com/en-us/microsoft-loop/"">Microsoft Loop</a></strong> is a transformative co-creation experience that brings together teams, content and tasks across your tools and devices. Loop combines a powerful and flexible canvas with portable components that move freely and stay in sync across applications enabling teams to think, plan, and create together.</br></br><strong>Used by:</strong> None</p>"
AWS Database Migration Service,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/dms/latest/userguide/Welcome.html"">AWS Database Migration Service</a></strong> is a cloud service that makes it possible to migrate relational databases, data warehouses, NoSQL databases, and other types of data stores. You can use AWS DMS to migrate your data into the AWS Cloud or between combinations of cloud and on-premises setups.</br></br><strong>Used by:</strong> None</p>"
AWS DataSync,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/datasync/latest/userguide/what-is-datasync.html"">AWS DataSync</a></strong> is an online data movement and discovery service that simplifies data migration and helps you quickly, easily, and securely transfer your file or object data to, from, and between AWS storage services.</br></br><strong>Used by:</strong> None</p>"
dotnet-monitor,assess,Tools,TRUE,"<p><strong><a href=""https://github.com/dotnet/dotnet-monitor/tree/main/documentation"">dotnet-monitor</a></strong> is a tool that makes it easier to get access to diagnostics information in a dotnet process.</br></br><strong>Used by:</strong> None</p>"
AWS Lambda Power Tuning,trial,Tools,TRUE,"<p><strong><a href=""https://github.com/alexcasalboni/aws-lambda-power-tuning"">AWS Lambda Power Tuning</a></strong> is a state machine powered by AWS Step Functions that helps you optimize your Lambda functions for cost and/or performance in a data-driven way.</br></br><strong>Used by:</strong> Startlight, DNC</p>"
GitVersion,adopt,Tools,TRUE,"<p><strong><a href=""https://gitversion.net/"">GitVersion</a></strong> is a tool that generates a Semantic Version number based on your Git history. The version number generated from GitVersion can then be used for various different purposes.</br></br><strong>Used by:</strong> All</p>"
OpenTelemetry,assess,Languages and Frameworks,TRUE,"<p><strong><a href=""https://opentelemetry.io/docs/"">OpenTelemetry</a></strong> is a vendor-neutral open source Observability framework for instrumenting, generating, collecting, and exporting telemetry data such as traces, metrics, logs.</br></br><strong>Used by:</strong> None</p>"
MockServer,assess,Tools,TRUE,"<p><strong><a href=""https://mock-server.com/"">MockServer</a></strong>, easy mocking of any system you integrate with via HTTP or HTTPS.</br></br><strong>Used by:</strong> None</p>"
AWS AppConfig,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/appconfig/latest/userguide/what-is-appconfig.html"">AWS AppConfig</a></strong>  feature flags and dynamic configurations help software builders quickly and securely adjust application behavior in production environments without full code deployments.</br></br><strong>Used by:</strong> None</p>"
Husky. NET,assess,Tools,TRUE,"<p><strong><a href=""https://alirezanet.github.io/Husky.Net/"">Husky. NET</a></strong> offers a very simple way to start using git hooks or running certain tasks, write and run custom scripts and more.</br></br><strong>Used by:</strong> None</p>"
Emotion,adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://emotion.sh/docs/introduction"">Emotion</a></strong> is a library designed for writing css styles with JavaScript. It provides powerful and predictable style composition in addition to a great developer experience with features such as source maps, labels, and testing utilities. Both string and object styles are supported.</br></br><strong>Used by:</strong>CUY, Enrollments</p>"
Playwright,trial,Tools,TRUE,"<p><strong><a href=""https://playwright.dev/"">Playwright</a></strong> enables reliable end-to-end testing for modern web apps.</br></br><strong>Used by:</strong> CUY</p>"
Vite,trial,Tools,TRUE,"<p><strong><a href=""https://vitejs.dev/"">Vite</a></strong> is a build tool and development server that is used to build modern web applications. It is designed to be fast and efficient, and can significantly improve the developer experience when building complex web applications.</br></br><strong>Used by:</strong> CUY</p>"
Vitest,trial,Tools,TRUE,"<p><strong><a href=""https://vitest.dev/"">Vitest</a></strong> is a next generation testing framework powered by Vite.</br></br><strong>Used by:</strong> CUY</p>"
Create React App,hold,Tools,TRUE,"<p><strong><a href=""https://create-react-app.dev/"">Create React App</a></strong>  is a comfortable environment for learning React, and is the best way to start building a new single-page application in React.</br></br><strong>Used by:</strong> All</br><strong>Alternatives:</strong> Rollup</p>"
Rollup,adopt,Tools,TRUE,"<p><strong><a href=""https://rollupjs.org/introduction/"">Rollup</a></strong> is a module bundler for JavaScript which compiles small pieces of code into something larger and more complex, such as a library or application.</br></br><strong>Used by:</strong> CUY</p>"
React Hook Form,adopt,Languages and Frameworks,TRUE,"<p><strong><a href=""https://react-hook-form.com/"">React Hook Form</a></strong>  is built with uncontrolled inputs in mind and tries to provide your form with the best performance and least amount of re-renders possible. Additionallly, react-hook-form is built with React Hooks and used as a hook, which means there is no Component for you to import.</br></br><strong>Used by:</strong> CUY</p>"
Mock Service Worker,assess,Languages and Frameworks,TRUE,"<p><strong><a href=""https://mswjs.io/"">Mock Service Worker</a></strong> is an API mocking library that allows you to write client-agnostic mocks and reuse them across any frameworks, tools, and environments.</br></br><strong>Used by:</strong> CUY</p>"
Deno,assess,Tools,TRUE,"<p><strong><a href=""https://deno.com/"">Deno</a></strong>  is a JavaScript and TypeScript runtime based on the V8 JavaScript engine and the Rust programming language.</br></br><strong>Used by:</strong> None</p>"
Serverless Framework,hold,Tools,TRUE,"<p><strong><a href=""https://www.serverless.com/"">Serverless Framework</a></strong> The Serverless Framework helps you develop and deploy AWS Lambda functions, along with the AWS infrastructure resources they require.</br></br><strong>Used by:</strong> Enrollments</br><strong>Alternatives:</strong> AWS SAM</p>"
Azure App Configuration,hold,Tools,TRUE,"<p><strong><a href=""https://learn.microsoft.com/en-us/azure/azure-app-configuration/overview"">Azure App Configuration</a></strong>   provides a service to centrally manage application settings and feature flags.</br></br><strong>Used by:</strong> CUY, TORO</br><strong>Alternatives:</strong> AWS AppConfig, AWS Systems Manager Parameter Store</p>"
Azure Table Storage,hold,Tools,TRUE,"<p><strong><a href=""https://learn.microsoft.com/en-us/azure/storage/tables/table-storage-overview"">Azure Table Storage</a></strong> storage is a service that stores non-relational structured data (also known as structured NoSQL data) in the cloud, providing a key/attribute store with a schemaless design.</br></br><strong>Used by:</strong> LMKT</br><strong>Alternatives:</strong> Amazon DynamoDB</p>"
Moment.js,hold,Languages and Frameworks,TRUE,"<p><strong><a href=""https://momentjs.com/"">Moment.js</a></strong> is a JavaScript package that makes it simple to parse, validate, manipulate, and display date/time in JavaScript.</br></br><strong>Used by:</strong> SAPO</br><strong>Alternatives:</strong> date-fns</p>"
Amazon DynamoDB,adopt,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Introduction.html"">Amazon DynamoDB</a></strong>  is a fully managed NoSQL database service that provides fast and predictable performance with seamless scalability.</br></br><strong>Used by:</strong> LMKT</p>"
Amazon Cognito,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/cognito/latest/developerguide/what-is-amazon-cognito.html"">Amazon Cognito</a></strong> is an identity platform for web and mobile apps. It's a user directory, an authentication server, and an authorization service for OAuth 2.0 access tokens and AWS credentials.</br></br><strong>Used by:</strong> None</p>"
Amazon EventBridge,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-what-is.html"">Amazon EventBridge</a></strong>  is a serverless service that uses events to connect application components together, making it easier for you to build scalable event-driven applications.</br></br><strong>Used by:</strong> None</p>"
AWS Elastic Beanstalk,hold,Platforms,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/Welcome.html"">AWS Elastic Beanstalk</a></strong> is an easy-to-use service for deploying and scaling web applications and services developed with Java, .NET, PHP, Node.js, Python, Ruby, Go, or Docker on familiar servers such as Apache, Nginx, Passenger, and IIS. Elastic Beanstalk is a complete application management solution, and manages all infrastructure and platform tasks on your behalf.</br></br><strong>Used by:</strong> None</br><strong>Alternatives:</strong> Amazon EKS, AWS Lambda</p>"
AWS AppSync,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/appsync/latest/devguide/what-is-appsync.html"">AWS AppSync</a></strong> enables developers to connect their applications and services to data and events with secure, serverless and high-performing GraphQL and Pub/Sub APIs.</br></br><strong>Used by:</strong> None</p>"
AWS Secret Manager,assess,Tools,TRUE,"<p><strong><a href=""https://docs.aws.amazon.com/secretsmanager/latest/userguide/intro.html"">AWS Secrets Manager</a></strong> helps you manage, retrieve, and rotate database credentials, application credentials, OAuth tokens, API keys, and other secrets throughout their lifecycles.</br></br><strong>Used by:</strong> None</p>"
